timestamp,J1,J2,J3,J4,J5,J6
 0,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 8,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 16,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 24,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 32,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 40,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 48,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 56,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 72,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 80,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 88,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 96,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 104,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 112,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 120,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 128,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 136,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 144,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 152,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 160,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 168,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 176,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 184,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 200,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 208,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 216,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 224,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 232,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 240,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 248,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 256,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 264,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 272,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 280,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 288,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 296,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
 304,   0.0000,    .0002,   -.0001,   0.0000,   -.0002,    .0001
 312,   0.0000,    .0018,   -.0009,   0.0000,   -.0018,    .0009
 328,   0.0000,    .0286,   -.0143,   0.0000,   -.0286,    .0143
 336,   0.0000,    .0286,   -.0143,   0.0000,   -.0286,    .0143
 344,   0.0000,    .0495,   -.0247,   0.0000,   -.0495,    .0247
 352,   0.0000,    .0786,   -.0393,   0.0000,   -.0786,    .0393
 360,   0.0000,    .1174,   -.0587,   0.0000,   -.1174,    .0587
 368,   0.0000,    .1671,   -.0835,   0.0000,   -.1671,    .0835
 376,   0.0000,    .2293,   -.1146,   0.0000,   -.2293,    .1146
 384,   0.0000,    .3052,   -.1526,   0.0000,   -.3052,    .1526
